,screen_name,text,date,retweets,favorites,polarizing,chamber,party
35,SenJohnThune,Discussed wind energy development with Crow Creek Sioux Tribe this afternoon. https://t.co/BeXW7YmHaX,2017-10-04 21:12:00,7,28,0,Senate,R
72,PRyan,"Thank you for your endorsement, Racine County Sheriff Schmaling! https://t.co/PoaIvJS4h2",2016-07-12 20:21:00,8,56,0,,
112,JerryMoran,RT @SundayFutures: .@JerryMoran on purpose of #IranDeal: To get American people through Congress... to see what deal is... and if it's wort…,2015-05-03 14:11:00,7,0,0,Senate,R
53,RepMikeQuigley,RT @cbs2chicago Only 2 more wknds of Kiddieland in Melrose Park. http://tinyurl.com/o9dohw || A 5th district treasure for over 80 yrs.,2009-09-14 20:03:00,0,0,0,House,D
35,AnderCrenshaw,On Speaker's balcony overlooking Nat'l Mall with Baker County visitors. Always great to see friendly faces from home! http://t.co/b0lat4sWyB,2015-05-13 22:17:00,0,0,0,House,R
49,AyannaPressley,".@Kate_Plans, @bthans thinks you are incredible, smart, and kind, and that you’re destined to make the world a better place!",2019-02-14 00:30:00,5,37,0,,
57,RepJimCosta,On #NationalLawEnforcementAppreciationDay let's come together as a nation to show our support &amp; appreciation for law enforcement officers.,2017-01-09 19:49:00,2,9,0,House,D
27,KathyCastorFL,RT @AndrewGillum: Donald Trump IS our national emergency.,2019-02-15 18:21:00,46899,0,1,,
175,GOPLeader,RT @RepMarthaRoby: Our work to combat child exploitation continues today as the House takes up @SusanWBrooks's Protecting Young Victims Fro…,2017-05-25 14:16:00,16,0,0,House,R
18,senrobportman,Misusing the Section 232 trade tool hurts #Ohio workers &amp; consumers. I hope the admin moves away from imposing auto tariffs &amp; the #Senate passes my Trade Security Act to reform the 232 tariff process https://t.co/eDDKf2oV1D,2019-02-20 18:36:00,3,4,1,Senate,R
28,billhuizenga,"Getting ready to speak to 200,000+ people on the National Mall at the March for Life. It is breath-taking to see so many battling the cold!",2011-01-24 17:38:00,0,0,0,House,R
1,EdTowns,I support the Hiring our #Veterans Act; the Homeless Vets Assistance through Tax credits; the Homes for Heroes Act; and many others,2011-11-11 21:19:00,2,0,0,House,D
189,RepAndyBarr,"This week, during a @HouseVetAffairs hearing on preventing veteran suicide, we heard from Dr. Richard Stone, head of the Veterans Health Admin., who says suicide is preventable, treatment works, and there is always hope. More: https://t.co/XdIVpZ23s9",2019-05-01 18:45:00,21,18,0,House,R
90,RepAndyBarr,"Today, the House passed the World Bank Accountability Act, legislation that I introduced to make future US contributions to the Bank conditional on reforms to better fight poverty and to prevent the flow of funds to corrupt governments and those who support terrorism. https://t.co/k86A472D7m",2018-01-17 22:40:00,4,1,0,House,R
33,McCaulforTexas,"I am supporting the ""Checkpoint Optimization and Efficiency Act."" https://t.co/FQBeRHZHoH #txlege https://t.co/HxnzO9RQjO",2016-06-02 20:30:00,0,0,0,,
16,SeanCasten,"“...collusion is not a specific offense or theory of liability found in the United States Code, nor is it a term of art in federal criminal law. For those reasons, the Office’s focus in analyzing questions of joint criminal liability was on conspiracy as defined in federal law.” https://t.co/8TDGPCqgLn",2019-05-24 13:08:00,17,75,0,,
452,GOPLeader,"Happy birthday to a soldier, legislator, and American hero: @SenatorDole. 🇺🇸 https://t.co/HwUdH1kg3w",2019-07-22 18:33:00,86,554,0,House,R
112,RepSmucker,"A good video from @NRO: No, The @NRA Doesn't ""Buy Politicians""  https://t.co/mYpLrD7XyC",2018-03-05 19:54:00,2,0,1,House,R
103,cbrangel,RT @RepMikeQuigley: Join me today from 2-3pm ET for #TwitterTownHall on Student Loan Interest Deduction Act. Ask questions using #SLIDact h…,2015-02-06 19:03:00,2,0,0,House,D
12,repdinatitus,"The House just passed the American Dream and Promise Act! I spoke on the floor today about the over 15,000 Dreamers and TPS holders in the heart of Las Vegas. The symbol of the United States must always remain the Statue of Liberty. #DreamandPromiseNow https://t.co/WwFFD0wMYY",2019-06-04 22:41:00,31,122,0,House,D
91,RepWalorski,Today we celebrate the Bill of Rights as we remember the freedoms which the US was founded upon #BillofRightsDay https://t.co/Tj5F3aXFj2,2015-12-15 15:29:00,0,0,0,House,R
12,jerrymcnerney,William asks: Dodd/Frank is too weak.  Would U sponsor an updated bill? #AskJerry,2012-02-02 00:47:00,0,0,1,House,D
122,JeffFortenberry,Announcing Town Hall Schedule for August http://fb.me/V7xWEwPc,2011-08-03 13:18:00,2,0,0,House,R
155,Nanette4CA,"Candidatos de Latino Victory logran victorias electorales importantes 
 https://t.co/7g0FtHZPBA via @UniNoticias",2016-09-05 02:26:00,1,3,0,,
35,RepTomGarrett,"Excited to announce details for our press conference on H.R. 1227 - the Ending Federal Marijuana Prohibition Act!

https://t.co/rboWYdvfXV",2017-04-27 18:21:00,16,29,0,,
181,JohnCornyn,Trans-Pacific Partnership talks may finally come to a close tpp. http://t.co/VAw5jqrl9s,2015-07-25 23:12:00,6,2,0,Senate,R
14,LtGovTimGriffin,UCA War Memorial is physical reminder of alumni who paid ultimate price for freedom from WWI through War on Terror. #neverforget @ucabears https://t.co/mTrWvByV1w,2016-11-03 19:48:00,0,3,0,House,R
9,StenyHoyer,Enjoyed talking to @Rock100 today. Tune into @whuttv tonight at 8pm to watch the interview. http://t.co/2VWRDQE6Mo,2014-10-29 23:00:00,0,0,0,,
136,Duffy4Wisconsin,"There’s a lot of misinformation about there about tax reform but the fact is, the new plan benefits a majority of Americans. https://t.co/Duc9CGVMAZ",2018-01-10 17:01:00,0,5,1,,
40,RepDavidYoung,"Visited the high school volleyball tournament in Shenandoah - had a great chat w/ Aaron Burdorf, Shenandoah's new AD, &amp; his son Blake #IA03 https://t.co/MpJsm21T9C",2017-09-10 17:04:00,5,9,0,House,R
0,SenCoonsOffice,RT @thehill: OVERNIGHT TECH: Tech companies line up to support high-skilled immigration bill  http://t.co/PnSt91Xz  by @jenmartinez,2013-01-30 00:12:00,11,0,0,Senate,D
139,RepValDemings,"#IntlStudents enrich our schools, communities and culture. They also bring $1.6 billion and more than 16,000 jobs to Florida. #YouAreWelcomeHere! #IEW2019",2019-11-22 19:04:00,19,57,0,House,D
143,LtGovHochulNY,"It’s a point of pride to have a company like @Sunderlandleath exporting internationally right here in New York.
 
From crafting @Olympics athletes' ceremonial gloves to providing materials to Italy for shoes &amp; purses, Gloversville is a hotspot in this trade. #Olympics2018 https://t.co/n90J7XKZJh",2018-02-16 19:42:00,3,13,0,,
37,RepBetoORourke,Only about 10 minutes left for the @elpasotimes Online Town Hall. Ask your Q now at this link: http://t.co/mF3hXYdVZk,2015-04-22 21:48:00,0,1,0,House,D
54,BillCassidy,Who all is ready to watch the Tigers open up the season with a win? #GeauxTigers,2016-09-03 18:15:00,2,10,0,Senate,R
19,SenDuckworth,"TIFIA for Airports Act would maximize taxpayers’ investment by reducing costs and improving project deliverability for projects like O’Hare Modernization, creating good-paying jobs and generating economic development.",2018-11-16 15:48:00,15,94,0,Senate,D
18,RepBarbaraLee,"From City Hall to Capitol Hill, women of color are leading with courage and conviction. Watch my speech at #SheThePeople18 LIVE now! ↓ 
https://t.co/ieDmscDWIS",2018-09-20 21:47:00,23,96,0,House,D
158,SenAlexander,Patrick Pizzella has valuable experience as the current Acting Chair of the Federal Labor Relations Authority and a former Assistant Secretary of Labor under President George W. Bush. #ConfirmPizzella,2018-04-12 00:02:00,3,2,0,Senate,R
24,PattyMurray,Murray to GOP: Dont take something that should be above politics—our sacred duty to #veterans—&amp; pull it down into the muck of petty politics,2015-07-22 19:44:00,36,24,1,Senate,D
20,DesJarlaisTN04,RT @RepBuddyCarter: .@GovernorDeal has issued an emergency declaration for all 159 counties in Georgia. Please continue to monitor our loca…,2018-09-12 17:57:00,7,0,0,House,R
5,HurdOnTheHill,These #STEM students from @ElPasoHPS will without a doubt represent TX-23 and El Paso well at the Team America Rocketry Challenge @RocketContest in DC. Great catching up with y'all this morning and best of luck tomorrow! 🚀 https://t.co/Rwo1FszwKk,2019-05-17 14:30:00,8,28,0,House,R
133,RepJayapal,LEAD first began as a response to racially disproportionate drug-related arrests. It allowed police officers to not… https://t.co/5TogOVo3zn,2018-03-21 19:08:00,1,4,0,House,D
24,Jim_Moran,Strongly agree time to raise min wage,2013-02-13 03:26:00,6,2,0,House,D
35,MikeforWI,"RT @packers: #TOUCHDOWN #Packers! Rodgers to Montgomery, 31 yards on 3rd &amp; 6. #STLvsGB http://t.co/7hh7wt4j7x",2015-10-11 17:12:00,893,0,0,,
65,RepCheri,"It's pretty simple - If a member of Congress is going to settle a sexual harassment claim, taxpayers should have the right to know about it since they’re the ones footing the bill. We need real transparency and accountability to root out sexual harassment and discrimination. https://t.co/xW2J7hFfnw",2017-11-27 19:35:00,23,67,0,House,D
90,CongressmanRaja,"”for whatever period is required - not because the Communists may be doing it, not because we seek their votes, but because it is right. If a free society cannot help the many who are poor, it cannot save the few who are rich.” -Kennedy Inaugural Address, January 20,1961 (2/2)",2017-12-23 17:32:00,8,12,0,House,D
125,RepEliotEngel,"To all those celebrating, wishing you and yours a very #HappyKwanzaa",2016-12-26 20:34:00,1,7,0,House,D
103,AyannaPressley,"A big congrats to @SoniaChangDiaz and the incredible allies at @MomsDemand and others who helped make this victory possible. Now more than ever, we need common sense gun laws to keep our communities safe. #ChangeCantWait https://t.co/tJebPIXQOq",2018-06-08 18:19:00,22,134,0,,
14,RepKenMarchant,House GOP approves first of several budget reform bills: http://t.co/7Hn9QVEa via @TheHIll,2012-02-03 22:18:00,0,0,0,House,R
33,davidjtrone,@HedrixCathy thanks for the suggestion!,2017-03-15 13:42:00,0,0,0,House,
34,GovInslee,Port Angeles made it to the FINAL round of @outsidemagazine Best Towns competition. Cast your vote for PA by Thurs http://t.co/PQJQb4RnbF,2015-06-02 16:03:00,64,57,0,,
135,TeamHeinrich,"Meow Wolf isn’t just an art collective, it’s growing New Mexico's economy. https://t.co/AJ7KXQzg5F",2018-02-22 23:30:00,19,51,0,,
18,BuckForColorado,Ask that you join us in praying for the families that lost their loved ones on this day 16 yrs ago. #neverforget http://t.co/Cr14WCP8oV,2015-04-20 22:03:00,10,11,0,,
70,AlanGrayson,"http://t.co/qYATB82L0M up to 22,941 people so far. We're going to start our whip soon! Join in and help stop the march to war.",2013-09-03 15:50:00,106,20,0,House,D
60,RepRobinKelly,Proud to be a part of the largest @OfficialCBC in U.S. history. #PeoplesHouse https://t.co/BqdV28EYyA,2017-01-03 15:40:00,1,10,0,House,D
21,RepGeoffDavis,I chair a @WaysandMeansGOP subcmte hearing at 10 a.m. on the implementation of recent reforms to unemployment benefits. http://t.co/RQAK9DCo,2012-04-25 13:43:00,0,0,0,House,R
34,RepFrenchHill,"Today marks the start of #GlobalEntrepreneurshipWeek2019 All around the world, cities will be hosting events that inspire millions to explore their potential as an entrepreneur while fostering connections &amp; increasing collaboration within communities. https://t.co/G35vYaijle",2019-11-18 22:31:00,1,4,0,House,R
6,SenatorBegich,Live coverage of Endeavour's final flight online from @SpaceflightNow: http://ht.ly/4JOY2 or NASA's webcam: http://ht.ly/4JOSM,2011-04-29 15:58:00,0,0,0,Senate,D
25,Jim_Banks,"RT @marybschneider: In Senate today is bill for licensing of ""beauty culture professional"" and bill that says school supt. does not need ...",2013-04-10 13:53:00,4,0,0,,
111,RoKhanna,"In countries with fewer mass shootings, you have to go through many steps before buying a gun.

In America, you only need to pass an instant background check and a third of gun owners buy from private sellers with no background checks. https://t.co/DuRw5UzTpF",2019-08-13 20:14:00,104,285,0,,
13,RepPerlmutter,"GOP @DHSgov shutdown is not fair to  the nearly 2000+ #Colorado DHS employees who will miss paychecks
#DontShutDownOurSecurity",2015-02-26 19:34:00,7,2,1,House,D
43,RepSusieLee,"@Rosa_DeLauro @BetsyDeVosED Read more about the PROTECT Students Act Here⬇️⬇️
https://t.co/8l2dh6aaAC",2019-06-26 18:18:00,2,4,0,,
142,RepDougCollins,"RT @access_wdun: #STAR students from Gainesville, Hall school honored today! Congrats! #bestandbrightest https://t.co/oAyqguTriS https://t.…",2016-02-23 20:30:00,2,0,0,House,R
197,BradAshford18,RT @Sarah_Sinovic: @NewNebraska @NebraskaDems @dccc @BradAshford18 I disagree with your assessment. I take this to mean that no political p…,2018-06-03 13:12:00,1,0,1,,
1,RepJimMcDermott,"Thanks to #ObamaCare, we're had a year of no co-pay #birthcontrol and other preventative services. #ObamaCareWorks",2013-08-01 17:36:00,3,3,1,House,D
24,Ellmers_Renee,"RT @MikeTokes: DEMOCRAT RACISM: After the Moderator confuses two black Americans Eric Holder and Cory Booker, Hillary Clinton states “I kno…",2018-10-30 02:23:00,4572,0,1,,
22,PatrickMcHenry,"Having chaired the first hearing investigating #OperationChokePoint, this vote represents real progress. MORE: https://t.co/Wj7Z2qAuyv (2/2)",2016-02-05 18:34:00,0,0,0,House,R
10,RepTomMacArthur,My Ocean County interns wrapped up their summer w my office w lunch at Capone’s in Toms River. I am so thankful for all of their hard work. https://t.co/CqzwxtqTVH,2017-08-10 14:46:00,2,5,0,House,R
97,RepRoybalAllard,"DACA was implemented on this day 6 years ago, and despite Donald Trump’s efforts to destroy this program, #DACA recipients who meet the requirements to apply for renewal can still do so today! Learn more at https://t.co/etSvl56gQU. https://t.co/XPixSQrwQD",2018-08-15 21:18:00,4,4,1,House,D
70,SenatorRounds,Congratulations to Jordan Tierny of Oral for being named Miss Rodeo America 2020 this weekend! https://t.co/5lOkyEchjq,2019-12-09 17:45:00,1,3,0,Senate,R
1,tmac4congress,"Today’s endorsement from the NJ Building &amp; Construction Trades Council means the world to me, especially in these hyper-partisan times. I have the utmost respect for the hardworking men and women of the building trades, and their support for me is truly humbling.",2018-04-24 18:44:00,6,21,0,House,R
92,SenatorHassan,The full Mueller report and its underlying evidence need to be made public; a summary written by the Attorney General appointed by the President to oversee this investigation will not suffice.,2019-03-24 21:54:00,52,154,1,Senate,D
106,GrahamBlog,Fantastic news for Charleston Port &amp; SCs economy. Ensuring project remains on track remains a top priority #chsnews  https://t.co/x2wOfPj0jv,2015-09-14 21:02:00,9,7,0,Senate,R
90,CheriBustos,"Together, we can help @HillaryClinton win on Election Day. So let’s go do it! https://t.co/vIdBfyspP1",2016-09-08 01:03:00,2,6,0,,
78,RepMarkMeadows,RT @kilmeade: House could vote on tentative border security deal today - @RepMarkMeadows provides insight on @FoxandFriends https://t.co/7r…,2019-02-13 23:22:00,135,0,0,House,R
19,MikieSherrill,Thanks so much to Deborah Fineman for setting up such a fabulous meet and greet! https://t.co/LnXLPExxVd,2017-09-12 23:19:00,0,13,0,,
79,RepGwenMoore,The Supreme Court will take up the #DACA case next term. Many Dreamers only know the U.S as their home and their status has been jeopardized for too long by this administration. The SCOTUS needs to ensure that the U.S. remains their home. Read more of my thoughts here ⬇ https://t.co/HYGr100AmO,2019-06-28 18:24:00,1,3,1,House,D
113,farenthold,Happy National Agriculture Day y'all. http://t.co/O6EhbLHz0v,2015-03-18 15:55:00,1,2,0,House,R
89,SenatorIsakson,"RT @VAChair: Our veterans deserve the best we can offer, and I’m proud of what we’ve accomplished in the #VAMISSIONAct. https://t.co/duJu5G…",2018-06-07 15:02:00,8,0,0,Senate,R
32,RepJohnConyers,It is unfortunate the #SCOTUS ignored Congress’ unprecedented &amp; comprehensive legislative findings in reenacting the bipartisan #VRA in 2006,2013-06-25 18:56:00,7,0,1,House,D
26,chakafattah,"50 Billion already , more to come ! Fattah Tax Credit Bill for Students Permanently Extended https://t.co/5w3Wa7yr8C via @YahooNews",2016-09-16 12:06:00,0,1,0,House,D
150,SenRonJohnson,Thoughts are with the Cambria community today. Will continue to follow developments throughout the day. https://t.co/N3pzAYPCso,2017-06-01 13:46:00,7,23,0,Senate,R
54,senrobportman,"#Ohio Task Force 1 is currently staging in Augusta, Georgia ahead of #HurricaneDorian’s arrival. I’m grateful for these brave responders and pray for their safety &amp; speedy return",2019-09-03 16:56:00,6,35,0,Senate,R
125,RepLoisFrankel,"Since the #ACA was signed into law 8 years ago, nearly 20 million more Americans are now insured. I will keep fighting to #ProtectOurCare and make quality healthcare affordable &amp; accessible for all Americans! https://t.co/Fk8La8iesE",2018-03-23 16:21:00,27,48,0,House,D
11,HaleyLive,"RT @jonathanoosting: Obama with a big shout out for #MI11 candidate Haley Stevens, whose opponent has accused her of resume inflation: “She…",2018-10-27 00:48:00,70,0,1,,
107,NanHayworth,RT @dbongino: 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 https://t.co/k4PtioxL17,2019-11-28 23:49:00,14171,0,1,House,R
44,GerryConnolly,Speaking to @tysonspartners @fairfaxcounty Tysons Open House this evening. What is happening in Tysons is truly transformative. Together we are building America's City of the Future. https://t.co/mWsoclgYQ3,2018-05-04 00:16:00,8,19,0,House,D
62,SteveScalise,Wishing everyone a happy Feast of the Epiphany and start of Carnival season! https://t.co/EdeKhVNDJQ,2018-01-06 23:49:00,85,458,0,House,R
106,SenCoonsOffice,From the Delaware Coast Press: Coons urges honest conversation on debt http://t.co/TjSp2dON #netDE,2012-07-04 13:15:00,0,0,0,Senate,D
107,ThadMcCotter,@kamenta  cc: @DCnewskat http://plixi.com/p/88574820,2011-04-01 12:18:00,0,0,0,House,R
18,Jim_Banks,RT @RobertBluey: BREAKING: Study pegs cost of immigration bill’s mass legalization at $6.3 trillion http://t.co/VvoYCp0OUk,2013-05-06 14:43:00,0,0,0,,
55,RepWesterman,"RT @HouseGOP: FACT: More than 2 MILLION men and women in uniform will not be getting paid until the #SchumerShutdown ends. @SenateDems, we…",2018-01-20 17:53:00,1290,0,1,House,R
3,SuzanDelBene,"This weekend I #WearOrange because:
-Too many lives have been cut short due to gun violence in our communities
-Our children deserve more
-Enough is enough

#GunViolenceAwarenessDay https://t.co/QBc5c3MqvB",2018-06-01 21:27:00,0,4,0,,
57,RepBlaine,"RT @FinancialCmte: Since #DoddFrank, there are far fewer community banks serving the needs of #smallbiz &amp; families across America http://t.…",2014-07-23 16:51:00,6,0,0,,
21,sharicedavids,"RT @BOLDPAC: CHC's BOLD PAC is proud to endorse @sharicedavids for #KS03!

When elected, she'll be the first Native American woman in Congr…",2018-07-10 15:36:00,33,0,0,House,
65,RepAnnWagner,RT @akamom1996: @RepAnnWagner Thank you #VA #veterans via @leisazigman http://t.co/3A9uNICWDG,2014-07-18 23:24:00,3,0,0,House,R
105,VanTaylorTX,Enjoyed @FriscoChamber event listening to Chairman Larry Phillips talk about transportation. http://t.co/2zizklpT2h,2014-04-17 18:03:00,0,0,0,,
85,InhofePress,"RT @TexomasHomepage: Senator Jim Inhofe was only in Frederick for a short time, but he wanted to make sure and get his message across about…",2018-01-05 14:41:00,4,0,0,Senate,R
27,TeamHeinrich,Good job Ireland. -MH https://t.co/GOAeZXOdfm,2018-05-27 00:41:00,0,4,0,,
34,RepTomPrice,Today is Natl Teacher's Day! We want to hear from you – tell us about the great teachers in #GA06 --&gt; http://t.co/Wwlu0XjQ6P,2013-05-07 18:01:00,1,0,0,House,R
55,DorisMatsui,"According to a new study, thanks to the #ACA young adults are now healthier and are saving money. #ACAworks! http://t.co/JZTDTGK5va",2014-06-18 17:05:00,3,0,0,House,D
154,RepJimBanks,"Tonight @SenToddYoung, @RepLarryBucshon and I met with members of the Indiana Bankers Association. Great to have this group of Hoosiers in DC. https://t.co/McqGRmHX5k",2018-10-02 01:17:00,4,17,0,House,R
106,SenatorReid,"I'll be on @60Minutes tonight, along w/Sen. McConnell. Tune in at 7:30pm ET/7pm PT on CBS",2012-11-04 21:41:00,46,10,0,Senate,D
107,RepComstock,"It is disturbing that in the time FTA was investigating this matter, 68 red signal overruns occurred on Metro. https://t.co/rmUFwZ5VEg #VA10",2016-08-16 12:45:00,4,3,0,House,R
103,RepCummings,RT @DrLeanaWen: .@RepCummings: Access to health is a fundamental right. Our fight is about inequality as much as it is about health. #ACA h…,2017-01-07 16:15:00,69,0,0,House,D
7,Sen_JoeManchin,I’m asking #WVians to send me your thoughts on the Supreme Court nominee. https://t.co/yq4dyGyxpJ SupremeCourtNominee@Manchin.Senate.Gov,2016-03-16 22:16:00,12,12,0,Senate,D
46,AngieCraigMN,"I’m going town by town meeting with folks because @Jason2CD won’t. Families in this district are concerned about protecting Social Security and Medicare, healthcare costs and transparency in Washington. In Congress, I will show up and listen. #MN02 https://t.co/AUQaV0gYUk",2018-10-01 13:05:00,76,190,1,,
106,SenWhitehouse,"One reason why I fight so hard on #climate. This is real homes, businesses and communities, of real #RhodeIslanders. 

This is not a drill. It's #TimeToWakeUp https://t.co/g11o0RbpDs",2019-03-01 17:05:00,136,329,0,Senate,D
68,RepLarryBucshon,President Obama's last obstacle to #KeystoneXL thrown out today by the Nebraska Supreme Court. http://t.co/s72cJX5E6J #TimeToBuild,2015-01-09 15:37:00,2,2,1,House,R
31,CongJoeWilson,"Will #Obamacare hurt #jobs? It's already happening, poll finds. http://t.co/HGaYquOSvL",2013-06-19 19:43:00,5,0,1,,
115,Elizabeth_Esty,"With over 50 museums in Connecticut taking part in the Blue Star Museums Program, this is a great opportunity for our active duty servicemembers and their families to take advantage of this summer. https://t.co/DIBMerUhvo",2018-06-06 16:12:00,2,3,0,,
70,TeamHeinrich,Important read about today's #SCOTUS decision: https://t.co/Rvh1TKCpKS,2018-06-05 01:30:00,1,3,0,,
53,sendavidperdue,We need a clean page approach &amp; neutral platform to fix our budget. This is not a partisan issue. #gapol https://t.co/XlMDI2WsAX,2016-07-29 19:52:00,2,11,0,Senate,R
79,jasonaltmire,Great in-depth story by @daveweigel about the role of @TheIntercept in exacerbating the Democrats’ left vs. center infighting in 2018 primaries. Nice contributing work by @breanne_dep &amp; @joanegreve.   https://t.co/KStti4D3Jm,2018-04-30 13:14:00,129,211,0,House,D
99,TeamBachmann,MN polls say @MittRomney is close... our Blaine HQ is ready 2 turn this state RED! Call 651-260-4648 to help us. #mn06 http://t.co/FG9d7x94,2012-10-29 20:43:00,80,19,0,,
62,askgeorge,@tweetonmyfeet what are you talking about?,2009-04-22 14:01:00,0,0,0,House,D
132,leezeldin,http://t.co/wSeFHBOFR0 has joined the overwhelming group of local supporters by endorsing our campaign. http://t.co/vAag1TjDN7,2014-06-24 21:43:00,1,0,0,House,R
102,AGBecerra,"We’re opposing an attempt by @USDOL to undermine civil rights protections that prevent federal contractors from discriminating against their employees.

No one should fear losing their job because of whom they love. https://t.co/htUSd7EMg8 https://t.co/u913JxrtEt",2019-09-17 16:32:00,14,38,1,House,D
103,DarrellIssa,Thanks to all the local startups for having me out yesterday! https://t.co/t6xnvmWBEb,2016-08-05 13:24:00,4,13,0,House,R
10,Flores4Congress,RT @HouseGOP: LIVE: House Republicans speak out against the #SchumerShutdown. https://t.co/gXPpSvTeCU https://t.co/QRPAjFT92U,2018-01-21 04:26:00,720,0,1,,
16,RyanCostello,"“That we embrace wholeheartedly the principles of pluralism . . . . “   Nicely put, Senator Hatch. Thank you for your service to our country. https://t.co/UTshwEl2u0",2018-12-13 01:08:00,0,5,0,,
84,virginiafoxx,Wonderful time visiting and taking questions today from students at Forsyth Country Day @FCDSFuries. http://t.co/gQtzuWd8,2013-01-31 20:31:00,1,0,0,House,R
9,brianschatz,"RT @jonlovett: A political culture that demands politicians who are not scripted but not unscripted, perfectly scripted at being unscripted…",2019-01-16 20:58:00,200,0,1,Senate,D
4,JeffDenham,"Thanks to #taxreform, California businesses are raising wages and giving out bonuses. Now, Democrats want businesses to turn over half of their savings to the state. This is a job-killer! https://t.co/FOLxQgYkWW",2018-01-29 22:53:00,1,4,1,,
41,Dennis_Kucinich,"RT @Dennis_Kucinich: We can't afford baby steps. We can't afford apathetic politicians that have been bought out by the gun lobby.

We need…",2018-03-13 20:48:00,36,0,1,House,D
79,jahimes,RT @PaulDEaton52: Mr. President: My father was MIA in Vietnam for 30 years. I will visit him at Arlington today. There is nothing “happy” a…,2018-05-29 02:29:00,6613,0,0,House,D
46,DrPhilRoe,"RT @BGOV: Join @DrPhilRoe, @daveloebsack, @USPBGC + @MachinistsUnion for a conversation on #pension reform on 5/1 | http://t.co/Tn3EkazJFj",2014-04-24 19:02:00,3,0,0,House,R
42,SenGaryPeters,"President Trump’s replacement of AG Sessions is alarming. The Russia investigation is about our national security, not politics. Given his views on limiting the investigation, Mr. Whitaker should recuse himself from oversight of Special Counsel Mueller https://t.co/U3RcE9CgPP",2018-11-08 03:00:00,30,142,1,Senate,D
24,TeamCornyn,RT @TeamSheets107: Block walking today with our @TeamCornyn friends! Excited to #KeepItRed in HD107! #ComeAndTakeIt #tglege http://t.co/SrK…,2014-10-25 17:35:00,3,0,0,,
107,SenWarren,"We’re going to vote tonight on a @SenateGOP proposal that makes it harder to hold @WellsFargo &amp; @Equifax accountable. It's nuts, but true.",2017-10-25 00:08:00,2158,4575,1,Senate,D
25,StewartforUtah,Translating Democratic Speak #1: Education https://t.co/hb0o1M9RSj #utpol,2016-08-11 16:53:00,1,0,0,,
24,RandyNeugebauer,#FF #TX #GOP @RepKevinBrady @michaelcburgess @cansecotx23 @JudgeCarter @farenthold @RepFlores @replouiegohmert @RepKayGranger @PeteSessions,2011-08-26 14:33:00,0,0,0,House,R
10,MarchantforTX24,"GOP watchdogs promise fight over EPA, Obamacare | Washington Examiner http://bit.ly/cSedlX",2010-11-09 14:18:00,0,0,0,,
65,RepFleming,Another step in the wrong direction for our imperial president http://t.co/7tzXQYCxdU,2014-06-17 21:32:00,2,0,1,House,R
6,RepRickLarsen,"@JuddLegum Seems like a long way to go repair his reputation, but if he thinks it will work on him, he should give it a try",2019-01-02 21:00:00,1,1,0,House,D
185,RepBrianHiggins,"RT @CheektowagaInfo: On this glorious Dyngus Day, help spread the word about the 40th Annual Cheektowaga Polish American Arts Festival sche…",2018-04-02 16:03:00,8,0,0,House,D
128,russfeingold,"""Johnson has spent so much time providing alibis for Trump… perhaps he's become convinced that name-calling works."" https://t.co/HPfVW6cVGR https://t.co/xnHg7JhGsh",2016-11-04 01:37:00,13,15,1,Senate,D
15,SpeakerRyan,"RT @HouseGOP: A pro-growth #taxreform plan that positively impacts you.
https://t.co/djiVimHtTK",2017-07-22 16:26:00,66,0,0,House,R
74,RepDerekKilmer,The federal government needs to be a partner to help coastal communities in tsunami danger zones https://t.co/e9FICYoGuR,2016-07-13 21:30:00,0,4,0,House,D
78,MikeCrapo,"From a mangled roll-out, to rising premiums and deductibles, Obamacare has fallen far short of @POTUS's promises. #idpol #ObamacareRepeal",2015-12-04 20:48:00,4,4,1,Senate,R
110,SeanCasten,"RT @VoteCasten: Today, #TeamCasten celebrated @GLAAD #SpiritDay to combat #LGBTQ bullying. In Congress, @SeanCasten will be a committed adv…",2018-10-19 00:30:00,30,0,0,,
44,dinatitus,RT @SteveSisolak: I am honored to receive an endorsement from my friend @dinatitus. Thank you for your support of my campaign. https://t.co…,2017-11-02 21:18:00,40,0,0,House,D
88,JacksonLeeTX18,"Incomprehensible statements about victims of gun violence, like those at #MSD literally staring down the barrel of AR-15s, must end. CPR can't stop an assault rifle - The students are right: we need real gun safety legislation; foolish talk w/o answers should end #enoughisenough",2018-03-27 22:07:00,30,69,1,House,D
26,repsandylevin,I joined former IMF chief economist Simon Johnson on an op-ed in Politico today: Putting the TPP on the Right Track http://t.co/3OnS9Yc6bM,2015-03-17 15:13:00,7,2,0,House,D
49,RepMarkWalker,"I am so ready for some warmer weather, but this bitter cold has turned Hanging Rock into majestic scenery. https://t.co/FeTpRJZOjq",2018-01-09 15:12:00,4,13,0,House,R
